Word,Furigana,Meaning,Level
大吉,だいきち,대길,N1
吉,きち,,N1
夢,む,길몽,N1
不,ふ,,N1
吉,きつ,불길,N1
盛大,せいだい,성대,N1
旺盛,おうせい,왕성,N1
全盛,ぜんせい,,N1
期,き,전성기,N1
繁,はん,,N1
盛,じょう,번성,N1
皇帝,こうてい,황제,N1
皇后,こうごう,황후,N1
皇,こう,,N1
位,い,황위,N1
皇,おう,,N1
子,じ,황자,N1
皇女,おうじょ,황녀,N1
天皇,てんのう,천황,N1
君臨,くんりん,군림,N1
降臨,こうりん,강림,N1
臨,りん,,N1
終,じゅう,임종,N1
臨,りん,,N1
時,じ,임시,N1
踏,とう,,N1
破,は,답파,N1
未,み,,N1
踏,とう,미답,N1
踏,とう,,N1
査,さ,답사,N1
破,は,,N1
壊,かい,파괴,N1
壊滅,かいめつ,괴멸,N1
崩壊,ほうかい,붕괴,N1
債,さい,,N1
務,む,채무,N1
負,ふ,,N1
債,さい,부채,N1
興奮,こうふん,흥분,N1
振興,しんこう,진흥,N1
新興,しんこう,신흥,N1
興,きょう,,N1
味,み,흥미,N1
余,よ,,N1
興,きょう,여흥,N1
興,きょう,,N1
趣,しゅ,흥취,N1
国,くに,を,N1
興,おこ,す 나라를 일으키다,N1
産,さん,,N1
業,ぎょう,が,N1
興,おこ,る 산업이 흥성하다,N1
源泉,げんせん,원천,N1
水源,すいげん,수원,N1
資,し,,N1
源,げん,자원,N1
資,し,,N1
金源,きんげん,자금원,N1
文明,ぶんめい,の,N1
源,みなもと,문명의 기원,N1
儀,ぎ,,N1
式,しき,의식,N1
儀,ぎ,,N1
礼,れい,의례,N1
創造,そうぞう,창조,N1
創立,そうりつ,창립,N1
独創,どくそう,독창,N1
創作,そうさく,창작,N1
創,そう,,N1
始,し,창시,N1
創,そう,,N1
意,い,창의,N1
新,あたら,しい,N1
機,き,,N1
械,かい,を,N1
創,つく,る 새로운 기계를 만들다,N1
障,しょう,,N1
害,がい,장해/장애,N1
故,こ,,N1
障,しょう,고장,N1
障,しょう,,N1
壁,へき,장벽,N1
支,し,,N1
障,しょう,지장,N1
継続,けいぞく,계속,N1
継,けい,,N1
承,しょう,계승,N1
後継者,こうけいしゃ,후계자,N1
