Word,Furigana,Meaning,Level
独房,どくぼう,독방,etc
冷房,れいぼう,냉방,N4
暖房,だんぼう,난방,N3
乳房,にゅうぼう,유방,etc
乳房,ちぶさ,유방,etc
撤去,てっきょ,철거,etc
撤回,てっかい,철회,etc
撤廃,てっぱい,철폐,etc
削除,さくじょ,삭제,N2
削減,さくげん,삭감,N1
添削,てんさく,첨삭,etc
秘密,ひみつ,비밀,N2
密談,みつだん,밀담,etc
密約,みつやく,밀약,etc
密度,みつど,밀도,N1
密林,みつりん,밀림,etc
密集,みっしゅう,밀집,N1
密接,みっせつ,밀접,N1
措置,そち,조치,N1
搭載,とうさい,탑재,N1
掲載,けいさい,게재,N1
記載,きさい,기재,N1
連載,れんさい,연재,etc
陣形,じんけい,진형,etc
陣営,じんえい,진영,etc
本陣,ほんじん,본진,etc
自我,じが,자아,N1
彼我,ひが,피아,etc
我慢,がまん,참음/자제,N2
無我,むが,무아,etc
我々,われわれ,우리(들),etc
行為,こうい,행위,N1
人為,じんい,인위,etc
作為,さくい,작위,etc
為政者,いせいしゃ,위정자,etc
抑圧,よくあつ,억압,N1
抑制,よくせい,억제,N1
抑揚,よくよう,억양,etc
抑止力,よくしりょく,억지력,etc
開幕,かいまく,개막,etc
閉幕,へいまく,폐막,etc
煙幕,えんまく,연막,etc
黒幕,くろまく,흑막,etc
幕府,ばくふ,막부,etc
染色,せんしょく,염색,etc
染料,せんりょう,염료,etc
汚染,おせん,오염,N2
伝染,でんせん,전염,N3
奈良県,ならけん,나라 현,etc
奈落,ならく,나락/지옥,etc
負傷,ふしょう,부상,N1
重傷,じゅうしょう,중상,etc
軽傷,けいしょう,경상,etc
選択,せんたく,선택,N3
採択,さいたく,채택,N1
択一,たくいつ,택일,etc
優秀,ゆうしゅう,우수,N2
秀才,しゅうさい,수재,etc
秀作,しゅうさく,수작,etc
象徴,しょうちょう,상징,N2
特徴,とくちょう,특징,N2
徴候,ちょうこう,징후,etc
徴兵,ちょうへい,징병,etc
弾力,だんりょく,탄력,N1
弾性,だんせい,탄성,etc
弾丸,だんがん,탄환,etc
弾薬,だんやく,탄약,etc
補償,ほしょう,보상,N1
賠償,ばいしょう,배상,N1
償還,しょうかん,상환,etc
功績,こうせき,공적,N2
成功,せいこう,성공,N3
功労,こうろう,공로,etc
功徳,くどく,공덕,etc
拠点,きょてん,거점,etc
占拠,せんきょ,점거,etc
根拠,こんきょ,근거,N1
証拠,しょうこ,증거,N1
秘密,ひみつ,비밀,N2
神秘,しんぴ,신비,N1
秘訣,ひけつ,비결,etc
拒否,きょひ,거부,N1
拒絶,きょぜつ,거절,N1
刑罰,けいばつ,형벌,N1
死刑,しけい,사형,N1
処刑,しょけい,처형,etc
塚穴,つかあな,시체를 묻는 구덩이,etc
貝塚,かいづか,패총(조개무지),etc
極致,きょくち,극치,etc
一致,いっち,일치,N2
合致,がっち,합치,N1
誘致,ゆうち,유치,etc
拉致,らち,납치,etc
致命的,ちめいてき,치명적,etc
尾行,びこう,미행,etc
末尾,まつび,말미,etc
交尾,こうび,교미,etc
描写,びょうしゃ,묘사,N1
素描,そびょう,소묘,etc
銀鈴,ぎんれい,은방울,etc
電鈴,でんれい,전령(벨),etc
風鈴,ふうりん,풍령,etc
鈴,りん,초인종,etc
鈴,すず,방울,N2
鈴虫,すずむし,방울벌레,etc
円盤,えんばん,원반,etc
羅針盤,らしんばん,나침반,etc
序盤,じょばん,초반,etc
中盤,ちゅうばん,중반,etc
終盤,しゅうばん,종반,etc
碁盤,ごばん,바둑판,N1
項目,こうもく,항목,N2
事項,じこう,사항,N1
条項,じょうこう,조항,etc
喪失,そうしつ,상실,N1
喪家,そうか,상가(초상집),etc
喪主,もしゅ,상주,etc
喪服,もふく,상복,etc
同伴,どうはん,동반,etc
伴侶,はんりょ,반려,etc
伴奏,ばんそう,반주,N1
養成,ようせい,양성,N1
栄養,えいよう,영양,N3
養育,よういく,양육,etc
一生懸命,いっしょうけんめい,열심히 함,N4
