Link,Kanji,Meanings,On Yomi,Kun Yomi,Pronunciations,Level
https://nihongokanji.com/1186,縮,"[""줄어들다"", ""축소되다""]","[""シュク""]","[""ちぢ(む)、ちぢ(まる)、ちぢ(める)、ちぢ(れる)、ちぢ(らす)""]","[""줄일 축""]",N1
https://nihongokanji.com/1187,還,"[""돌아오다""]","[""カン""]",[],"[""돌아올 환""]",N1
https://nihongokanji.com/1188,属,"[""속하다""]","[""ゾク""]",[],"[""무리 속""]",N1
https://nihongokanji.com/1189,慮,"[""고려하다"", ""깊이 생각하다""]","[""リョ""]",[],"[""생각할 려""]",N1
https://nihongokanji.com/1190,枠,"[""틀 (일본에서 만들어진 한자)""]",[],"[""わく""]","[""테두리""]",N1
https://nihongokanji.com/1191,露,"[""이슬"", ""드러내다""]","[""ロ、ロウ""]","[""つゆ""]","[""이슬 로""]",N1
https://nihongokanji.com/1192,沖,"[""높이 오르다"", ""먼 바다""]","[""チュウ""]","[""おき""]","[""화할 충""]",N1
https://nihongokanji.com/1193,緩,"[""느린"", ""느슨한"", ""완만한""]","[""カン""]","[""ゆる(い)、ゆる(やか)、ゆる(む)、ゆる(める)""]","[""느릴 완""]",N1
https://nihongokanji.com/1194,需,"[""필요한"", ""필수적인""]","[""ジュ""]",[],"[""쓰일/쓸 수""]",N1
https://nihongokanji.com/1195,射,"[""쏘다""]","[""シャ""]","[""い(る)""]","[""쏠 사""]",N1
https://nihongokanji.com/1196,購,"[""사들이다""]","[""コウ""]",[],"[""살 구""]",N1
https://nihongokanji.com/1197,揮,"[""휘두르다"", ""지휘하다""]","[""キ""]",[],"[""휘두를 휘""]",N1
https://nihongokanji.com/1198,充,"[""가득한"", ""채우다""]","[""ジュウ""]","[""あ(てる)""]","[""채울 충""]",N1
https://nihongokanji.com/1199,跡,"[""발자취"", ""흔적""]","[""セキ""]","[""あと""]","[""발자취 적""]",N1
https://nihongokanji.com/1200,貢,"[""바치다"", ""공물""]","[""コウ、ク""]","[""みつ(ぐ)""]","[""바칠 공""]",N1
https://nihongokanji.com/1201,鹿,"[""사슴""]",[],"[""しか、か""]","[""사슴 록""]",N1
https://nihongokanji.com/1202,却,"[""물리치다"", ""물러나다"", ""없애버리다""]","[""キャク""]",[],"[""물리칠 각""]",N1
https://nihongokanji.com/1203,端,"[""단정하다"", ""끝"", ""끄트머리""]","[""タン""]","[""はし、は、はた""]","[""끝 단""]",N1
https://nihongokanji.com/1204,獲,"[""얻다"", ""획득하다""]","[""カク""]","[""え(る)""]","[""얻을 획""]",N1
https://nihongokanji.com/1205,郡,"[""군"", ""고을"", ""행정 구획(도도부현의 아래)""]","[""グン""]",[],"[""고을 군""]",N1
https://nihongokanji.com/1206,併,"[""나란히 하다"", ""겸하다"", ""아우르다""]","[""ヘイ""]","[""あわ(せる)""]","[""아우를 병""]",N1
https://nihongokanji.com/1207,徹,"[""꿰뚫다"", ""끝까지 하다""]","[""テツ""]",[],"[""통할 철""]",N1
https://nihongokanji.com/1208,貴,"[""귀중한"", ""고귀한""]","[""キ""]","[""たっと(い)、とうと(い)、たっと(ぶ)、とうと(ぶ)""]","[""귀할 귀""]",N1
https://nihongokanji.com/1209,衝,"[""부딪다"", ""찌르다""]","[""ショウ""]",[],"[""찌를 충""]",N1
https://nihongokanji.com/1210,焦,"[""그슬리다"", ""태우다"", ""안달하다""]","[""ショウ""]","[""こ(げる)、こ(がす)、こ(がれる)、あせ(る)""]","[""탈 초""]",N1
https://nihongokanji.com/1211,奪,"[""빼앗다""]","[""ダツ""]","[""うば(う)""]","[""빼앗을 탈""]",N1
https://nihongokanji.com/1212,災,"[""재앙""]","[""サイ""]","[""わざわ(い)""]","[""재앙 재""]",N1
https://nihongokanji.com/1213,浦,"[""물가""]",[],[],"[""개 포""]",N1
https://nihongokanji.com/1214,析,"[""산산이 분해하다"", ""나누다""]","[""セキ""]",[],"[""쪼갤 석""]",N1
https://nihongokanji.com/1215,譲,"[""양보하다"", ""양도하다"", ""사양하다"", ""겸손한""]","[""ジョウ""]","[""ゆず(る)""]","[""사양할 양""]",N1
https://nihongokanji.com/1216,称,"[""칭찬하다"", ""칭하다"", ""칭호""]","[""ショウ""]",[],"[""일컬을 칭""]",N1
https://nihongokanji.com/1217,納,"[""수납하다"", ""넣어 두다""]","[""ノウ、ナッ、ナ、ナン、トウ""]","[""おさ(める)、おさ(まる)""]","[""들일 납""]",N1
https://nihongokanji.com/1218,樹,"[""나무"", ""세우다""]","[""ジュ""]",[],"[""나무 수""]",N1
https://nihongokanji.com/1219,挑,"[""도전하다""]",[],"[""いど(む)""]","[""돋울 도""]",N1
https://nihongokanji.com/1220,誘,"[""꾀어내다"", ""유인하다""]","[""ユウ""]","[""さそ(う)""]","[""꾈 유""]",N1
https://nihongokanji.com/1221,紛,"[""어지러운"", ""혼란스러운"", ""번잡한""]","[""フン""]","[""まぎ(れる)、まぎ(らす)、まぎ(らわす)、まぎ(らわしい)""]","[""어지러울 분""]",N1
https://nihongokanji.com/1222,至,"[""이르다"", ""극에 달하다""]","[""シ""]","[""いた(る)""]","[""이를 지""]",N1
https://nihongokanji.com/1223,宗,"[""근원"", ""으뜸"", ""종주"", ""종교""]","[""シュウ、ソウ""]",[],"[""마루 종""]",N1
https://nihongokanji.com/1224,促,"[""재촉하다""]","[""ソク""]","[""うなが(す)""]","[""재촉할 촉""]",N1
https://nihongokanji.com/1225,慎,"[""조심하다"", ""삼가다""]","[""シン""]","[""つつし(む)""]","[""삼갈 신""]",N1
https://nihongokanji.com/1226,控,"[""빼다"", ""당기다"", ""기다리다""]","[""コウ""]","[""ひか(える)""]","[""당길 공""]",N1
https://nihongokanji.com/1227,握,"[""쥐다""]",[],"[""にぎ(る)""]","[""쥘 악""]",N1
https://nihongokanji.com/1228,俊,"[""뛰어난"", ""걸출한""]","[""シュン""]",[],"[""준걸 준""]",N1
https://nihongokanji.com/1229,銭,"[""동전""]","[""セン""]","[""ぜに""]","[""돈 전""]",N1
https://nihongokanji.com/1230,渋,"[""떫다"", ""일이 정체되다""]","[""ジュウ""]","[""しぶ、しぶ(い)、しぶ(る)""]","[""떫을 삽""]",N1
https://nihongokanji.com/1231,銃,"[""총""]","[""ジュウ""]",[],"[""총 총""]",N1
https://nihongokanji.com/1232,携,"[""휴대하다"", ""잡다"", ""끌다""]","[""ケイ""]","[""たずさ(える)、たずさ(わる)""]","[""이끌 휴""]",N1
https://nihongokanji.com/1233,診,"[""진찰하다""]","[""シン""]","[""み(る)""]","[""진찰할 진""]",N1
https://nihongokanji.com/1234,託,"[""부탁하다""]","[""タク""]",[],"[""부탁할 탁""]",N1
https://nihongokanji.com/1235,撮,"[""사진 찍다(촬영하다)""]","[""サツ""]","[""と(る)""]","[""모을 촬""]",N1
https://nihongokanji.com/1236,誕,"[""태어나다""]","[""タン""]",[],"[""낳을 탄""]",N1
https://nihongokanji.com/1237,侵,"[""침범하다"", ""침해하다""]","[""シン""]","[""おか(す)""]","[""침노할 침""]",N1
https://nihongokanji.com/1238,括,"[""묶다"", ""일괄의""]","[""カツ""]",[],"[""묶을 괄""]",N1
https://nihongokanji.com/1239,掛,"[""걸다"", ""걸리다""]",[],[],"[""걸 괘""]",N1
https://nihongokanji.com/1240,謝,"[""사례하다"", ""사과하다""]","[""シャ""]","[""あやま(る)""]","[""사례할 사""]",N1
https://nihongokanji.com/1241,孝,"[""효도하다""]",[],[],"[""효도 효""]",N1
https://nihongokanji.com/1242,駆,"[""몰다"", ""몰아내다""]","[""ク""]","[""か(ける)、か(る)""]","[""몰 구""]",N1
https://nihongokanji.com/1243,透,"[""투명하다"", ""꿰뚫다"", ""투과하다""]","[""トウ""]","[""す(く)、す(ける)、す(かす)""]","[""사무칠 투""]",N1
https://nihongokanji.com/1244,津,"[""넘치다"", ""진액""]","[""シン""]","[""つ""]","[""나루 진""]",N1
https://nihongokanji.com/1245,稲,"[""벼""]","[""トウ""]","[""いね、いな""]","[""벼 도""]",N1
https://nihongokanji.com/1246,裂,"[""찢다"", ""터지다"", ""균열""]","[""レツ""]","[""さ(く)、さ(ける)""]","[""찢어질 렬""]",N1
https://nihongokanji.com/1247,敏,"[""민첩하다"", ""재빠르다""]","[""ビン""]",[],"[""민첩할 민""]",N1
https://nihongokanji.com/1248,是,"[""옳다""]",[],[],"[""옳을 시""]",N1
