Word,Furigana,Meaning,Level
迫害,はくがい,박해,N1
脅迫,きょうはく,협박,N1
切迫,せっぱく,절박,N1
迫力,はくりょく,박력,N1
緊迫,きんぱく,긴박,N1
迷惑,めいわく,귀찮음/성가심,N1
誘惑,ゆうわく,유혹,N1
疑惑,ぎわく,의혹,N1
崩壊,ほうかい,붕괴,N1
世紀,せいき,세기,N1
紀元,きげん,기원,N1
仏紀,ぶっき,불기,N1
紀伝,きでん,기전(전기),N1
西紀,せいき,서기(서력),N1
聴覚,ちょうかく,청각,N1
聴力,ちょうりょく,청력,N1
視聴,しちょう,시청,N1
解脱,げだつ,해탈,N1
脱落,だつらく,탈락,N1
脱衣,だつい,탈의,N1
脱出,だっしゅつ,탈출,N1
脱退,だったい,탈퇴,N1
博士,はくし,박사,N1
博識,はくしき,박식,N1
該博,がいはく,해박,N1
博学,はくがく,박학,N1
賭博,とばく,도박,N1
博徒,ばくと,노름꾼,N1
患者,かんじゃ,환자,N1
疾患,しっかん,질환,N1
締結,ていけつ,체결,N1
固執,こしつ,고집,N1
執拗,しつよう,집요,N1
執行,しっこう,집행,N1
執着,しゅうちゃく,집착,N1
執念,しゅうねん,집념,N1
独房,どくぼう,독방,N1
冷房,れいぼう,냉방,N1
暖房,だんぼう,난방,N1
乳房,にゅうぼう,유방,N1
乳房,ちぶさ,유방,N1
撤去,てっきょ,철거,N1
撤回,てっかい,철회,N1
撤廃,てっぱい,철폐,N1
削除,さくじょ,삭제,N1
削減,さくげん,삭감,N1
添削,てんさく,첨삭,N1
秘密,ひみつ,비밀,N1
密談,みつだん,밀담,N1
密約,みつやく,밀약,N1
密度,みつど,밀도,N1
密林,みつりん,밀림,N1
密集,みっしゅう,밀집,N1
密接,みっせつ,밀접,N1
措置,そち,조치,N1
搭載,とうさい,탑재,N1
掲載,けいさい,게재,N1
記載,きさい,기재,N1
連載,れんさい,연재,N1
陣形,じんけい,진형,N1
陣営,じんえい,진영,N1
本陣,ほんじん,본진,N1
自我,じが,자아,N1
彼我,ひが,피아,N1
我慢,がまん,참음/자제,N1
無我,むが,무아,N1
我々,われわれ,우리(들),N1
行為,こうい,행위,N1
人為,じんい,인위,N1
作為,さくい,작위,N1
為政者,いせいしゃ,위정자,N1
抑圧,よくあつ,억압,N1
抑制,よくせい,억제,N1
抑揚,よくよう,억양,N1
抑止力,よくしりょく,억지력,N1
開幕,かいまく,개막,N1
閉幕,へいまく,폐막,N1
煙幕,えんまく,연막,N1
黒幕,くろまく,흑막,N1
幕府,ばくふ,막부,N1
染色,せんしょく,염색,N1
染料,せんりょう,염료,N1
汚染,おせん,오염,N1
伝染,でんせん,전염,N1
奈良県,ならけん,나라 현,N1
奈落,ならく,나락/지옥,N1
負傷,ふしょう,부상,N1
重傷,じゅうしょう,중상,N1
軽傷,けいしょう,경상,N1
選択,せんたく,선택,N1
採択,さいたく,채택,N1
択一,たくいつ,택일,N1
優秀,ゆうしゅう,우수,N1
秀才,しゅうさい,수재,N1
秀作,しゅうさく,수작,N1
象徴,しょうちょう,상징,N1
特徴,とくちょう,특징,N1
徴候,ちょうこう,징후,N1
徴兵,ちょうへい,징병,N1
弾力,だんりょく,탄력,N1
弾性,だんせい,탄성,N1
弾丸,だんがん,탄환,N1
弾薬,だんやく,탄약,N1
補償,ほしょう,보상,N1
賠償,ばいしょう,배상,N1
償還,しょうかん,상환,N1
