Kanji,Meanings,On Yomi,Kun Yomi,Pronunciations,Level
我,"[""나"", ""자신""]","[""ガ""]","[""われ、わ""]","[""나 아""]",N1
為,"[""하다"", ""행하다""]","[""イ""]",[],"[""할 위""]",N1
抑,"[""누르다"", ""억누르다""]","[""ヨク""]","[""おさ(える)""]","[""누를 억""]",N1
幕,"[""장막""]",[],[],"[""장막 막""]",N1
染,"[""염색하다"", ""물들다""]","[""セン""]","[""そ(める)、そ(まる)、し(みる)、し(み)""]","[""물들 염""]",N1
奈,"[""(지명에 쓰이는 한자)""]","[""ナ""]",[],"[""어찌 나""]",N1
傷,"[""상처"", ""상처내다"", ""다치다""]","[""ショウ""]","[""きず、いた(む)、いた(める)""]","[""다칠 상""]",N1
択,"[""선택하다"", ""고르다""]","[""タク""]",[],"[""가릴 택""]",N1
秀,"[""뛰어나다""]","[""シュウ""]","[""ひい(でる)""]","[""빼어날 수""]",N1
徴,"[""징집하다"", ""특징"", ""징표"", ""상징""]","[""チョウ""]",[],"[""부를 징""]",N1
弾,"[""탄알"", ""튕기다""]","[""ダン""]","[""ひ(く)、はず(む)、たま""]","[""탄알 탄""]",N1
償,"[""변상하다"", ""보상하다""]","[""ショウ""]","[""つぐな(う)""]","[""갚을 상""]",N1
功,"[""공적"", ""공로""]","[""コウ、ク""]",[],"[""공 공""]",N1
拠,"[""의지하다""]","[""キョ、コ""]",[],"[""의거할 거""]",N1
秘,"[""숨기다"", ""비밀""]","[""ヒ""]","[""ひ(める)""]","[""숨길 비""]",N1
拒,"[""거절하다"", ""거부하다""]","[""キョ""]","[""こば(む)""]","[""막을 거""]",N1
刑,"[""형벌"", ""벌하다""]","[""ケイ""]",[],"[""형벌 형""]",N1
塚,"[""무덤"", ""흙무더기""]",[],[],"[""무덤 총""]",N1
致,"[""초래하다"", ""이르다"", ""보내다""]","[""チ""]","[""いた(す)""]","[""이를 치""]",N1
繰,"[""(실/밧줄 등을) 감다"", ""(하나씩) 헤아리다/세다""]",[],"[""く(る)""]","[""고치 켤 조""]",N1
尾,"[""꼬리""]","[""ビ""]","[""お""]","[""꼬리 미""]",N1
描,"[""그리다""]","[""ビョウ""]","[""えが(く)、か(く)""]","[""그릴 묘""]",N1
鈴,"[""방울""]","[""レイ、リン""]","[""すず""]","[""방울 령""]",N1
盤,"[""쟁반"", ""평평한 판""]","[""バン""]",[],"[""소반 반""]",N1
項,"[""항목"", ""조항""]","[""コウ""]",[],"[""항목 항""]",N1
喪,"[""잃다""]","[""ソウ""]","[""も""]","[""잃을 상""]",N1
伴,"[""짝"", ""동반자"", ""반려""]",[],"[""ともな(う)""]","[""짝 반""]",N1
養,"[""사육하다"", ""기르다""]","[""ヨウ""]","[""やしな(う)""]","[""기를 양""]",N1
懸,"[""매달다""]","[""ケン、ケ""]","[""か(ける)、か(かる)""]","[""달 현""]",N1
街,"[""시가"", ""거리""]","[""ガイ、カイ""]","[""まち""]","[""거리 가""]",N1
契,"[""(약속/계약 등을) 맺다"", ""새기다""]","[""ケイ""]","[""ちぎ(る)""]","[""맺을 계""]",N1
掲,"[""높이 들다"", ""걸다""]","[""ケイ""]","[""かか(げる)""]","[""높이 들 게""]",N1
躍,"[""뛰어오르다""]","[""ヤク""]","[""おど(る)""]","[""뛸 약""]",N1
棄,"[""버리다""]",[],[],"[""버릴 기""]",N1
邸,"[""집"", ""저택""]","[""テイ""]",[],"[""집 저""]",N1
籍,"[""문서"", ""호적""]","[""セキ""]",[],"[""문서 적""]",N1
縮,"[""줄어들다"", ""축소되다""]","[""シュク""]","[""ちぢ(む)、ちぢ(まる)、ちぢ(める)、ちぢ(れる)、ちぢ(らす)""]","[""줄일 축""]",N1
還,"[""돌아오다""]","[""カン""]",[],"[""돌아올 환""]",N1
属,"[""속하다""]","[""ゾク""]",[],"[""무리 속""]",N1
慮,"[""고려하다"", ""깊이 생각하다""]","[""リョ""]",[],"[""생각할 려""]",N1
枠,"[""틀 (일본에서 만들어진 한자)""]",[],"[""わく""]","[""테두리""]",N1
露,"[""이슬"", ""드러내다""]","[""ロ、ロウ""]","[""つゆ""]","[""이슬 로""]",N1
沖,"[""높이 오르다"", ""먼 바다""]","[""チュウ""]","[""おき""]","[""화할 충""]",N1
緩,"[""느린"", ""느슨한"", ""완만한""]","[""カン""]","[""ゆる(い)、ゆる(やか)、ゆる(む)、ゆる(める)""]","[""느릴 완""]",N1
需,"[""필요한"", ""필수적인""]","[""ジュ""]",[],"[""쓰일/쓸 수""]",N1
射,"[""쏘다""]","[""シャ""]","[""い(る)""]","[""쏠 사""]",N1
購,"[""사들이다""]","[""コウ""]",[],"[""살 구""]",N1
揮,"[""휘두르다"", ""지휘하다""]","[""キ""]",[],"[""휘두를 휘""]",N1
充,"[""가득한"", ""채우다""]","[""ジュウ""]","[""あ(てる)""]","[""채울 충""]",N1
跡,"[""발자취"", ""흔적""]","[""セキ""]","[""あと""]","[""발자취 적""]",N1
貢,"[""바치다"", ""공물""]","[""コウ、ク""]","[""みつ(ぐ)""]","[""바칠 공""]",N1
鹿,"[""사슴""]",[],"[""しか、か""]","[""사슴 록""]",N1
却,"[""물리치다"", ""물러나다"", ""없애버리다""]","[""キャク""]",[],"[""물리칠 각""]",N1
端,"[""단정하다"", ""끝"", ""끄트머리""]","[""タン""]","[""はし、は、はた""]","[""끝 단""]",N1
獲,"[""얻다"", ""획득하다""]","[""カク""]","[""え(る)""]","[""얻을 획""]",N1
郡,"[""군"", ""고을"", ""행정 구획(도도부현의 아래)""]","[""グン""]",[],"[""고을 군""]",N1
併,"[""나란히 하다"", ""겸하다"", ""아우르다""]","[""ヘイ""]","[""あわ(せる)""]","[""아우를 병""]",N1
徹,"[""꿰뚫다"", ""끝까지 하다""]","[""テツ""]",[],"[""통할 철""]",N1
貴,"[""귀중한"", ""고귀한""]","[""キ""]","[""たっと(い)、とうと(い)、たっと(ぶ)、とうと(ぶ)""]","[""귀할 귀""]",N1
衝,"[""부딪다"", ""찌르다""]","[""ショウ""]",[],"[""찌를 충""]",N1
焦,"[""그슬리다"", ""태우다"", ""안달하다""]","[""ショウ""]","[""こ(げる)、こ(がす)、こ(がれる)、あせ(る)""]","[""탈 초""]",N1
奪,"[""빼앗다""]","[""ダツ""]","[""うば(う)""]","[""빼앗을 탈""]",N1
災,"[""재앙""]","[""サイ""]","[""わざわ(い)""]","[""재앙 재""]",N1
浦,"[""물가""]",[],[],"[""개 포""]",N1
析,"[""산산이 분해하다"", ""나누다""]","[""セキ""]",[],"[""쪼갤 석""]",N1
譲,"[""양보하다"", ""양도하다"", ""사양하다"", ""겸손한""]","[""ジョウ""]","[""ゆず(る)""]","[""사양할 양""]",N1
称,"[""칭찬하다"", ""칭하다"", ""칭호""]","[""ショウ""]",[],"[""일컬을 칭""]",N1
納,"[""수납하다"", ""넣어 두다""]","[""ノウ、ナッ、ナ、ナン、トウ""]","[""おさ(める)、おさ(まる)""]","[""들일 납""]",N1
樹,"[""나무"", ""세우다""]","[""ジュ""]",[],"[""나무 수""]",N1
挑,"[""도전하다""]",[],"[""いど(む)""]","[""돋울 도""]",N1
誘,"[""꾀어내다"", ""유인하다""]","[""ユウ""]","[""さそ(う)""]","[""꾈 유""]",N1
紛,"[""어지러운"", ""혼란스러운"", ""번잡한""]","[""フン""]","[""まぎ(れる)、まぎ(らす)、まぎ(らわす)、まぎ(らわしい)""]","[""어지러울 분""]",N1
至,"[""이르다"", ""극에 달하다""]","[""シ""]","[""いた(る)""]","[""이를 지""]",N1
宗,"[""근원"", ""으뜸"", ""종주"", ""종교""]","[""シュウ、ソウ""]",[],"[""마루 종""]",N1
促,"[""재촉하다""]","[""ソク""]","[""うなが(す)""]","[""재촉할 촉""]",N1
慎,"[""조심하다"", ""삼가다""]","[""シン""]","[""つつし(む)""]","[""삼갈 신""]",N1
控,"[""빼다"", ""당기다"", ""기다리다""]","[""コウ""]","[""ひか(える)""]","[""당길 공""]",N1
握,"[""쥐다""]",[],"[""にぎ(る)""]","[""쥘 악""]",N1
俊,"[""뛰어난"", ""걸출한""]","[""シュン""]",[],"[""준걸 준""]",N1
銭,"[""동전""]","[""セン""]","[""ぜに""]","[""돈 전""]",N1
渋,"[""떫다"", ""일이 정체되다""]","[""ジュウ""]","[""しぶ、しぶ(い)、しぶ(る)""]","[""떫을 삽""]",N1
銃,"[""총""]","[""ジュウ""]",[],"[""총 총""]",N1
